timestamp,density,speed_kph,v_max_kph_used,load_tons,stress_mpa_proxy,reliability_beta,env_stress,k_mpa_per_ton,sim_fatigue,sim_shockwave,avg_density,max_stress,source
2026-01-31T02:22:26.767957+00:00,0.03,,80.0,0.0,0.0,9.999999999999991,15.1,0.6,100.0,0.10732256375893531,0.09450982258417605,50.44664357106934,live_camera
2026-01-31T02:22:31.022933+00:00,0.03,,80.0,0.0,0.0,9.999999999999991,15.1,0.6,100.0,0.13185226506924547,0.09573178355549196,51.03702411035334,live_camera
2026-01-31T02:22:34.991303+00:00,0.03,,80.0,0.0,0.0,9.999999999999991,15.1,0.6,100.0,0.08486883540273134,0.09392530686201725,50.25326131185794,live_camera
2026-01-31T02:22:38.992945+00:00,0.0011,,80.0,4.0,2.4,9.90354365522231,15.1,0.6,100.0,0.12862842242363334,0.09462899888849402,48.69361431813916,live_camera
2026-01-31T02:22:42.934463+00:00,0.03,,80.0,0.0,0.0,9.999999999999991,15.1,0.6,100.0,0.10635046103057175,0.09524433023688851,52.21354638587054,live_camera
2026-01-31T02:22:46.761044+00:00,0.03,,80.0,0.0,0.0,9.999999999999991,15.1,0.6,100.0,0.08416176305498557,0.09450253118960829,50.950952633788305,live_camera
2026-01-31T02:22:50.729198+00:00,0.03,,80.0,0.0,0.0,9.999999999999991,15.1,0.6,100.0,0.11462967874151943,0.09452780703777544,52.48913530512982,live_camera
2026-01-31T02:22:54.727335+00:00,0.03,,80.0,0.0,0.0,9.999999999999991,15.1,0.6,100.0,0.13310307711860664,0.09431375531090698,51.83823842543986,live_camera
2026-01-31T02:22:59.491739+00:00,0.03,,80.0,0.0,0.0,9.999999999999991,15.1,0.6,100.0,0.13881341175262488,0.0946970926717615,51.645610134504196,live_camera
2026-01-31T02:23:03.390334+00:00,0.03,,80.0,0.0,0.0,9.999999999999991,15.1,0.6,100.0,0.1485830269015997,0.09691059862846639,53.424871924936724,live_camera
2026-01-31T02:23:07.417296+00:00,0.0006,,80.0,2.0,1.2,9.951885354941062,15.1,0.6,100.0,0.1291659346952793,0.09443646309979199,47.672256534599725,live_camera
2026-01-31T02:23:11.286087+00:00,0.03,,80.0,0.0,0.0,9.999999999999991,15.1,0.6,100.0,0.1295281183048977,0.09472191399474483,51.17579119227229,live_camera
2026-01-31T02:23:15.294236+00:00,0.03,,80.0,0.0,0.0,9.999999999999991,15.1,0.6,100.0,0.12052473266882371,0.09327925207477011,51.277535311433084,live_camera
2026-01-31T02:23:20.487658+00:00,0.03,,80.0,0.0,0.0,9.999999999999991,15.1,0.6,100.0,0.11481585444509268,0.09394658078119003,49.769313460909,live_camera
2026-01-31T02:23:24.360496+00:00,0.03,,80.0,0.0,0.0,9.999999999999991,15.1,0.6,100.0,0.12838808802184828,0.0952711995091578,51.764001839658704,live_camera
2026-01-31T02:23:28.265531+00:00,0.0006,,80.0,2.0,1.2,9.951885354941062,15.1,0.6,100.0,0.12662043722318142,0.09441599206947458,47.62406981198288,live_camera
2026-01-31T02:23:32.190623+00:00,0.0006,22.860000000000007,22.860000000000007,2.0,1.2,9.951885354941062,15.1,0.6,1.261491476077637,8.426441040727126e-06,0.0006005222089511198,0.6063037500397589,live_camera
2026-01-31T02:23:36.018604+00:00,0.03,,80.0,0.0,0.0,9.999999999999991,15.1,0.6,100.0,0.13781217633949078,0.09486862119862655,54.46503601560714,live_camera
2026-01-31T02:23:39.933212+00:00,0.03,,80.0,0.0,0.0,9.999999999999991,15.1,0.6,100.0,0.11994980082880624,0.09528837967598758,49.165736750419505,live_camera
2026-01-31T02:23:43.895762+00:00,0.03,,80.0,0.0,0.0,9.999999999999991,15.1,0.6,100.0,0.1255537123744702,0.09449860890347143,49.896771258273525,live_camera
2026-01-31T02:23:48.086316+00:00,0.03,,80.0,0.0,0.0,9.999999999999991,15.1,0.6,100.0,0.1130136798826216,0.09473681780037152,52.6985145352869,live_camera
2026-01-31T02:23:52.558955+00:00,0.03,,80.0,0.0,0.0,9.999999999999991,15.1,0.6,100.0,0.12388810677084333,0.09561670372948715,50.9604199310111,live_camera
2026-01-31T02:23:56.692244+00:00,0.03,,80.0,0.0,0.0,9.999999999999991,15.1,0.6,100.0,0.1141799975832971,0.09385322949393321,51.66514569173999,live_camera
2026-01-31T02:24:00.801369+00:00,0.0006,,80.0,2.0,1.2,9.951885354941062,15.1,0.6,100.0,0.12285619915053184,0.09284900047835856,48.03855078384253,live_camera
2026-01-31T02:24:05.784719+00:00,0.0011,18.900000000000006,18.900000000000006,19.5,11.7,9.521578432339567,15.1,0.6,1.9956372127151658,2.8591145965465285e-05,0.001110631916617756,0.74978386070835,live_camera
2026-01-31T02:24:09.727889+00:00,0.0011,0.0,0.0,19.5,11.7,9.521578432339567,15.1,0.6,2.086289518585088,0.0,0.0013955113836689552,0.6977556918344775,live_camera
2026-01-31T02:24:14.422324+00:00,0.03,,80.0,0.0,0.0,9.999999999999991,15.1,0.6,100.0,0.1329919875241752,0.09396207817810524,50.29382513260563,live_camera
2026-01-31T02:24:18.254862+00:00,0.03,,80.0,0.0,0.0,9.999999999999991,15.1,0.6,100.0,0.12345815416570523,0.09522233734625524,49.91568051546139,live_camera
2026-01-31T02:24:22.192341+00:00,0.03,,80.0,0.0,0.0,9.999999999999991,15.1,0.6,100.0,0.13156587053364716,0.0954261702149129,51.51917105517796,live_camera
2026-01-31T02:24:26.270399+00:00,0.03,,80.0,0.0,0.0,9.999999999999991,15.1,0.6,100.0,0.12143378364243841,0.0948446406487632,52.64530669892461,live_camera
2026-01-31T02:24:30.059549+00:00,0.03,,80.0,0.0,0.0,9.999999999999991,15.1,0.6,100.0,0.108414121273093,0.09459421643157101,50.73644012873767,live_camera
2026-01-31T02:24:33.886821+00:00,0.03,,80.0,0.0,0.0,9.999999999999991,15.1,0.6,100.0,0.11912012615972771,0.09609232810278162,50.39442840369477,live_camera
2026-01-31T02:24:37.878880+00:00,0.03,,80.0,0.0,0.0,9.999999999999991,15.1,0.6,100.0,0.11798125928146116,0.09554943980722803,51.375240320536186,live_camera
2026-01-31T02:24:41.731920+00:00,0.03,,80.0,0.0,0.0,9.999999999999991,15.1,0.6,100.0,0.1077985518209476,0.09423939886945544,50.593271342087334,live_camera
